"id";"Nome";"distanciaCapital"
645;"Glaucilândia";459
646;"Itapeva";459
647;"Mantena";461
648;"Poços de Caldas";461
649;"Sacramento";462
650;"Santa Fé de Minas";462
651;"Aimorés";464
652;"Bueno Brandão";464
653;"Claro dos Poções";464
654;"Veredinha";464
655;"Lagoa Grande";466
656;"Maria da Fé";466
657;"Wenceslau Braz";466
658;"Claraval";467
659;"Ibitiúra de Minas";468
660;"Ouro Verde de Minas";468
661;"Setubinha";468
662;"Munhoz";471
663;"Turmalina";471
664;"Delfim Moreira";472
665;"Teófilo Otoni";472
666;"Iraí de Minas";474
667;"Jacutinga";474
668;"Albertina";476
669;"Romaria";476
670;"Monte Sião";478
671;"Uberaba";478
672;"Caldas";480
673;"Extrema";482
674;"Toledo";484
675;"Nova Ponte";485
676;"Conquista";486
677;"Coração de Jesus";487
678;"Francisco Sá";489
679;"Capitão Enéas";494
680;"Monte Carmelo";494
681;"Novo Cruzeiro";494
682;"Mirabela";500
683;"Abadia dos Dourados";505
684;"Estrela do Sul";505
685;"Andradas";506
686;"Minas Novas";506
687;"Paracatu";506
688;"Chapada do Norte";507
689;"José Gonçalves de Minas";509
690;"Lagamar";509
691;"Delta";515
692;"Catuji";518
693;"Poté";519
694;"São João do Pacuí";519
695;"São Romão";521
696;"Veríssimo";523
697;"Ataléia";525
698;"Botumirim";525
699;"Ladainha";526
700;"Novo Oriente de Minas";528
701;"Berilo";529
702;"Grupiara";532
703;"Indianópolis";532
704;"Itaipé";532
705;"Água Comprida";535
706;"Vazante";536
707;"Brasília de Minas";537
708;"Coromandel";537
709;"Uberlândia";538
710;"Brasilândia de Minas";542
711;"Douradoquara";543
712;"Japonvar";543
713;"Janaúba";545
714;"Patis";546
715;"Cristália";548
716;"Conceição das Alagoas";550
717;"Campo Florido";551
718;"Bonfinópolis de Minas";552
719;"Lontra";552
720;"Malacacheta";553
721;"Cascalho Rico";554
722;"Francisco Badaró";554
723;"Jenipapo de Minas";554
724;"Franciscópolis";555
725;"Dom Bosco";556
726;"Pavão";558
727;"Padre Paraíso";561
728;"Araguari";566
729;"Nova Porteirinha";570
730;"São João da Ponte";571
731;"Caraí";572
732;"Grão Mogol";573
733;"Guarda-Mor";573
734;"Pirajuba";575
735;"Luislândia";578
736;"Carlos Chagas";582
737;"Coronel Murta";585
738;"Riachinho";589
739;"Crisólita";590
740;"Planura";592
741;"Porteirinha";592
742;"Icaraí de Minas";594
743;"Ubaí";594
744;"Riacho dos Machados";595
745;"Verdelândia";595
746;"Varzelândia";598
747;"Pedras de Maria da Cruz";599
748;"São Francisco";599
749;"Serranópolis de Minas";600
750;"Ibiracatu";602
751;"Unaí";603
752;"Ponto dos Volantes";605
753;"Nanuque";608
754;"Padre Carvalho";608
755;"Pai Pedro";610
756;"Águas Formosas";613
757;"Januária";613
758;"Comendador Gomes";614
759;"Fruta de Leite";615
760;"Frutal";618
761;"Josenópolis";618
762;"Urucuia";625
763;"Mato Verde";628
764;"Monte Alegre de Minas";630
765;"Serra dos Aimorés";631
766;"Tupaciguara";632
767;"Jaíba";633
768;"Machacalis";635
769;"Prata";635
770;"Fronteira dos Vales";636
771;"Itaobim";637
772;"Pintópolis";639
773;"Salinas";639
774;"Catuti";640
775;"Itinga";642
776;"Joaíma";645
777;"Monte Formoso";647
778;"Natalândia";647
779;"Cônego Marinho";650
780;"Bertópolis";655
781;"Itacarambi";656
782;"Umburatiba";656
783;"Canápolis";657
784;"Monte Azul";657
785;"Santa Helena de Minas";657
786;"Bonito de Minas";661
787;"Cachoeira de Pajeú";661
788;"Medina";661
789;"Fronteira";662
790;"Centralina";663
791;"Mamonas";664
792;"Santa Cruz de Salinas";665
793;"Ituiutaba";672
794;"Divisópolis";674
795;"Itapagipe";674
796;"São João das Missões";676
797;"Campina Verde";677
798;"Rubelita";678
799;"Novorizonte";682
800;"Araçuaí";684
801;"Taiobeiras";684
802;"Comercinho";686
803;"Cabeceira Grande";687
804;"Espinosa";688
805;"Jequitinhonha";690
806;"Indaiabira";694
807;"Matias Cardoso";698
808;"Palmópolis";702
809;"Araporã";705
810;"Gameleiras";705
811;"Santo Antônio do Retiro";708
812;"Pedra Azul";710
813;"Uruana de Minas";711
814;"São Francisco de Sales";716
815;"Mata Verde";720
816;"Virgem da Lapa";721
817;"Almenara";725
818;"Capinópolis";725
819;"Manga";725
820;"Chapada Gaúcha";730
821;"Curral de Dentro";731
822;"Rio Pardo de Minas";731
823;"Felisburgo";737
824;"Águas Vermelhas";740
825;"Arinos";746
826;"Bandeira";746
827;"Divisa Alegre";752
828;"Cachoeira Dourada";758
829;"Berizal";760
830;"Buritis";760
831;"Rio do Prado";761
832;"Rubim";762
833;"Santa Vitória";764
834;"São João do Paraíso";764
835;"Iturama";765
836;"Montalvânia";767
837;"Gurinhatã";772
838;"Ipiaçu";773
839;"Formoso";776
840;"Jacinto";777
841;"Montezuma";780
842;"Vargem Grande do Rio Pardo";791
843;"Ninheira";798
844;"União de Minas";801
845;"Jordânia";803
846;"Santo Antônio do Jacinto";812
847;"Santa Maria do Salto";816
848;"Miravânia";818
849;"Juvenília";819
850;"Carneirinho";822
851;"Salto da Divisa";827
852;"Limeira do Oeste";848
